energy,flux
14.12,7814.077
14.14,7418.622
14.16,6990.734
14.18,6648.765
14.2,6333.539
14.22,6017.175
14.24,5693.414
14.26,5332.668
14.28,5081.17
14.3,4829.672
14.32,4577.036
14.34,4315.865
14.36,4036.486
14.38,3839.612
14.4,3642.169
14.42,3443.019
14.44,3235.334
14.46,3025.373
14.48,2872.881
14.5,2719.82
14.52,2564.483
14.54,2400.042
14.56,2246.412
14.58,2129.767
14.6,2011.984
14.62,1892.494
14.64,1763.331
14.66,1654.083
14.68,1565.319
14.7,1475.986
14.72,1384.377
14.74,1281.957
14.76,1206.849
14.78,1139.707
14.8,1071.996
14.82,1002.009
14.84,921.78
14.86,871.708
14.88,821.636
14.9,770.995
14.92,718.078
14.94,660.609
14.96,623.624
14.98,586.07
15,547.947
15.02,508.117
15.04,467.718
15.06,439.837
15.08,412.525
15.1,384.075
15.12,353.918
15.14,326.606
15.16,306.122
15.18,285.638
15.2,265.154
15.22,242.394
15.24,223.617
15.26,209.392
15.28,194.598
15.3,179.235
15.32,162.165
15.34,150.216
15.36,139.974
15.38,129.732
15.4,118.921
15.42,106.403
15.44,99.006
15.46,92.178
15.48,84.781
15.5,76.815
15.52,68.849
15.54,63.728
15.56,58.607
15.58,54.055
15.6,48.365
15.62,43.244
15.64,39.83
15.66,36.416
15.68,33.002
15.7,29.588
15.72,26.174
15.74,23.898
15.76,21.622
15.78,19.346
15.8,17.07
15.82,15.363
15.84,13.656
15.86,12.518
15.88,10.811
15.9,9.104
15.92,8.535
15.94,7.397
15.96,6.828
15.98,5.69
16,5.121
16.02,4.552
16.04,3.983
16.06,3.414
16.08,2.845
16.1,2.276
16.12,2.276
16.14,1.707
16.16,1.707
16.18,1.138
16.2,1.138
16.22,1.138
16.24,0.569
16.26,0.569
16.28,0.569
16.3,0.569
16.32,0.569
16.34,0.569
16.36,0
16.38,0
16.4,0
16.42,0
16.44,0
16.46,0
16.48,0
16.5,0
16.52,0
16.54,0
16.56,0
